V_DC_MAX_V,S_mrad_V,L_um
7.183505845214444889e+02,7.091359319619948565e+01,1.099999999999999858e+02
7.186356835854470546e+02,7.088546016647789827e+01,1.099999999999999858e+02
6.533775183961740822e+02,7.087761069316570683e+01,9.999999999999998579e+01
5.881058619485083909e+02,7.086964497855127831e+01,8.999999999999998579e+01
7.189037051266798244e+02,7.085903266283682456e+01,1.099999999999999858e+02
6.536014775435803585e+02,7.085332419779136615e+01,9.999999999999998579e+01
7.193329054930482016e+02,7.081675359768193800e+01,1.099999999999999858e+02
8.501558908126147571e+02,7.081382279474838981e+01,1.300000000000000000e+02
5.887299599656824967e+02,7.079451782702746243e+01,8.999999999999998579e+01
6.542003743505624698e+02,7.078846053936216265e+01,9.999999999999998579e+01
6.542178044068245981e+02,7.078657455148227484e+01,9.999999999999998579e+01
6.542901409708947540e+02,7.077874857755311666e+01,9.999999999999998579e+01
7.197994084137533264e+02,7.077085716875741639e+01,1.099999999999999858e+02
6.543962565723886655e+02,7.076727123580053558e+01,9.999999999999998579e+01
6.545329760381637243e+02,7.075248930139552783e+01,9.999999999999998579e+01
7.203378144731422026e+02,7.071796051726666121e+01,1.099999999999999858e+02
7.860428720341654980e+02,7.069818560614777425e+01,1.199999999999999858e+02
5.896414396879284823e+02,7.068508222243414707e+01,8.999999999999998579e+01
7.862082274226281697e+02,7.068331635709037641e+01,1.199999999999999858e+02
7.206916681965462885e+02,7.068323857618581485e+01,1.099999999999999858e+02
7.208489779102784496e+02,7.066781348664997608e+01,1.099999999999999858e+02
6.553903038580824614e+02,7.065993670022105277e+01,9.999999999999998579e+01
7.865312549745211754e+02,7.065428679405891899e+01,1.199999999999999858e+02
8.522250071649114034e+02,7.064189397608970467e+01,1.300000000000000000e+02
5.900345275034480892e+02,7.063799100443678469e+01,8.999999999999998579e+01
7.868486076447213691e+02,7.062579042721357325e+01,1.199999999999999858e+02
6.557711155587672920e+02,7.061890389162871884e+01,9.999999999999998579e+01
6.557714580071350383e+02,7.061886701395118848e+01,9.999999999999998579e+01
7.214261944664702924e+02,7.061127183034854227e+01,1.099999999999999858e+02
7.870779091745694132e+02,7.060521482522688075e+01,1.199999999999999858e+02
7.872735909191295605e+02,7.058766546021399790e+01,1.199999999999999858e+02
9.185811190611211714e+02,7.058034504849983648e+01,1.400000000000000000e+02
6.561332012188926228e+02,7.057993300525166092e+01,9.999999999999998579e+01
7.217467481430888938e+02,7.057991082615397715e+01,1.099999999999999858e+02
5.906147347018761593e+02,7.056859776303051035e+01,8.999999999999998579e+01
7.878068904140906170e+02,7.053988171168569465e+01,1.199999999999999858e+02
7.224158604640030035e+02,7.051453866238051660e+01,1.099999999999999858e+02
6.567442532761266420e+02,7.051426358668095418e+01,9.999999999999998579e+01
6.568988586294790366e+02,7.049766760315169734e+01,9.999999999999998579e+01
7.226800485072074025e+02,7.048876086759406689e+01,1.099999999999999858e+02
9.201036376455098207e+02,7.046355397993728786e+01,1.400000000000000000e+02
8.544445017893609702e+02,7.045839545323359232e+01,1.300000000000000000e+02
5.916164927852180426e+02,7.044910707252184068e+01,8.999999999999998579e+01
5.918085864221826569e+02,7.042624017685835724e+01,8.999999999999998579e+01
7.233869506516481351e+02,7.041987843037097150e+01,1.099999999999999858e+02
7.234171643287037341e+02,7.041693732865248023e+01,1.099999999999999858e+02
7.893304355604323064e+02,7.040372746048284114e+01,1.199999999999999858e+02
5.921480079375465948e+02,7.038587158515191788e+01,8.999999999999998579e+01
6.579444798487343178e+02,7.038563101129395250e+01,9.999999999999998579e+01
6.580510380889857061e+02,7.037423346225075704e+01,9.999999999999998579e+01
7.238712507570488697e+02,7.037276459001543572e+01,1.099999999999999858e+02
8.555428396709106664e+02,7.036794162531160168e+01,1.300000000000000000e+02
7.239725798682520690e+02,7.036291503232898492e+01,1.099999999999999858e+02
5.923773515905193108e+02,7.035862112923278744e+01,8.999999999999998579e+01
7.241156363356527663e+02,7.034901411712228025e+01,1.099999999999999858e+02
9.216105087569367242e+02,7.034834316919680930e+01,1.400000000000000000e+02
6.584001641369437721e+02,7.033691652439890163e+01,9.999999999999998579e+01
7.901506027153991454e+02,7.033064920849911061e+01,1.199999999999999858e+02
7.243561900875470201e+02,7.032565168919040843e+01,1.099999999999999858e+02
6.586931229381494859e+02,7.030563364314825492e+01,9.999999999999998579e+01
9.222538515444338145e+02,7.029926980494411737e+01,1.400000000000000000e+02
7.905650193858717785e+02,7.029378166090663171e+01,1.199999999999999858e+02
5.929711553321229758e+02,7.028816371810086139e+01,8.999999999999998579e+01
7.247732232056671364e+02,7.028518644451972364e+01,1.099999999999999858e+02
7.907622799599677137e+02,7.027624643941565807e+01,1.199999999999999858e+02
6.590628608525455547e+02,7.026619179336796606e+01,9.999999999999998579e+01
5.933407592377490118e+02,7.024437980569466333e+01,8.999999999999998579e+01
7.253540409316583464e+02,7.022890650416240987e+01,1.099999999999999858e+02
7.913790464553500215e+02,7.022147618182644635e+01,1.199999999999999858e+02
7.254459467952865452e+02,7.022000928951472076e+01,1.099999999999999858e+02
7.914592835912462760e+02,7.021435721785186956e+01,1.199999999999999858e+02
7.914646239159110337e+02,7.021388345382965213e+01,1.199999999999999858e+02
5.936481994976976466e+02,7.020800144152937605e+01,8.999999999999998579e+01
6.596664278437964413e+02,7.020190118802973700e+01,9.999999999999998579e+01
