t_s,uy_mass_m
2.615999999999999619e-04,-7.991356970140299122e-08
2.616499999999999902e-04,-7.997714070348875559e-08
2.616999999999999643e-04,-8.003604636554720391e-08
2.617499999999999927e-04,-8.008961282895835593e-08
2.617999999999999668e-04,-8.013851425075201833e-08
2.618499999999999951e-04,-8.017692265509684197e-08
2.618999999999999692e-04,-8.020690210642603701e-08
2.619499999999999975e-04,-8.022979318940903555e-08
2.619999999999999716e-04,-8.023879439143536732e-08
2.620499999999999999e-04,-8.023832851262364376e-08
2.620999999999999741e-04,-8.022970715485234690e-08
2.621500000000000024e-04,-8.020407432613145306e-08
2.621999999999999765e-04,-8.017844149741055921e-08
2.622500000000000048e-04,-8.013652234632232253e-08
2.622999999999999789e-04,-8.009174784888901700e-08
2.623500000000000072e-04,-8.003921703848692646e-08
2.623999999999999813e-04,-7.998172520649509451e-08
2.624500000000000097e-04,-7.991987464637427965e-08
2.624999999999999838e-04,-7.985648816515903081e-08
2.625500000000000121e-04,-7.979237687507023229e-08
2.625999999999999862e-04,-7.973013683142247771e-08
2.626500000000000145e-04,-7.966971936353681114e-08
2.626999999999999886e-04,-7.961595304615320197e-08
2.627499999999999628e-04,-7.956770604044057603e-08
2.627999999999999911e-04,-7.952454917956600608e-08
2.628499999999999652e-04,-7.949381042799805478e-08
2.628999999999999935e-04,-7.947069162915885610e-08
2.629499999999999676e-04,-7.945475539771766696e-08
2.629999999999999959e-04,-7.945419108817088479e-08
2.630499999999999700e-04,-7.946479480088121664e-08
2.630999999999999984e-04,-7.948648111196489031e-08
2.631499999999999725e-04,-7.950816742304825957e-08
2.632000000000000008e-04,-7.954017455196199773e-08
2.632499999999999749e-04,-7.958323900462035172e-08
2.633000000000000032e-04,-7.963347059407384341e-08
2.633499999999999773e-04,-7.968788909436735795e-08
2.634000000000000057e-04,-7.974862642554420583e-08
2.634499999999999798e-04,-7.981024818613978913e-08
2.635000000000000081e-04,-7.987340775639979719e-08
2.635499999999999822e-04,-7.993505560778144547e-08
2.636000000000000105e-04,-7.999466764949359349e-08
2.636499999999999846e-04,-8.005039974179999283e-08
2.637000000000000129e-04,-8.009907258834226049e-08
2.637499999999999871e-04,-8.014249922115478439e-08
2.637999999999999612e-04,-8.017780291915020731e-08
2.638499999999999895e-04,-8.020218088685191010e-08
2.638999999999999636e-04,-8.021935081877607133e-08
2.639499999999999919e-04,-8.022608587572250622e-08
2.639999999999999660e-04,-8.021510017589269072e-08
2.640499999999999944e-04,-8.019969215869752336e-08
2.640999999999999685e-04,-8.018428414150254129e-08
2.641499999999999968e-04,-8.015100023201452766e-08
2.641999999999999709e-04,-8.011326966929714583e-08
2.642499999999999992e-04,-8.006452696547929205e-08
2.642999999999999733e-04,-8.001309412487109268e-08
2.643500000000000016e-04,-7.995451526514580153e-08
2.643999999999999758e-04,-7.989481804465014071e-08
2.644500000000000041e-04,-7.983299189087486110e-08
2.644999999999999782e-04,-7.977209892079424989e-08
2.645500000000000065e-04,-7.971246688908052535e-08
2.645999999999999806e-04,-7.965706376190564645e-08
2.646500000000000089e-04,-7.960703893544219470e-08
2.646999999999999830e-04,-7.956082955032598323e-08
2.647500000000000114e-04,-7.952612460534074479e-08
2.647999999999999855e-04,-7.949779979698713087e-08
2.648500000000000138e-04,-7.947720702070916217e-08
2.648999999999999879e-04,-7.947008772294695575e-08
2.649499999999999620e-04,-7.947159851066483095e-08
2.649999999999999903e-04,-7.948906258783548328e-08
