t_s,uy_mass_m
4.459999999999999989e-05,-1.757564528904645721e-12
4.479999999999999797e-05,-1.744577029713394404e-12
4.499999999999999606e-05,-1.709443390224029320e-12
4.520000000000000092e-05,-1.667953138759783724e-12
4.539999999999999900e-05,-1.626462887295550446e-12
4.559999999999999709e-05,-1.584972635831309293e-12
4.579999999999999517e-05,-1.543482384367066928e-12
4.600000000000000004e-05,-1.501992132902824966e-12
4.619999999999999812e-05,-1.460501881438583813e-12
4.639999999999999621e-05,-1.419011629974344679e-12
4.660000000000000107e-05,-1.377521378510105343e-12
4.679999999999999915e-05,-1.384259040250389118e-12
4.699999999999999724e-05,-1.444865701491753615e-12
4.719999999999999532e-05,-1.505472362733116295e-12
4.740000000000000018e-05,-1.566079023974481197e-12
4.759999999999999827e-05,-1.626685685215848319e-12
4.779999999999999635e-05,-1.687292346457210797e-12
4.800000000000000122e-05,-1.747899007698572266e-12
4.819999999999999930e-05,-1.808505668939939186e-12
4.839999999999999739e-05,-1.788384173348889827e-12
4.859999999999999547e-05,-1.755893122802997277e-12
4.880000000000000033e-05,-1.723402072257102909e-12
4.899999999999999842e-05,-1.690911021711209147e-12
4.919999999999999650e-05,-1.658419971165319828e-12
4.939999999999999459e-05,-1.625928920619420007e-12
4.959999999999999945e-05,-1.593437870073524226e-12
4.979999999999999753e-05,-1.565708892362255654e-12
4.999999999999999562e-05,-1.551401090764791056e-12
5.020000000000000048e-05,-1.537093289167325450e-12
5.039999999999999857e-05,-1.522785487569857015e-12
5.059999999999999665e-05,-1.508477685972384744e-12
5.079999999999999474e-05,-1.494169884374924994e-12
5.099999999999999960e-05,-1.479862082777450703e-12
5.119999999999999768e-05,-1.465554281179984693e-12
5.139999999999999577e-05,-1.491133723931610268e-12
5.160000000000000063e-05,-1.537569167909049744e-12
5.179999999999999871e-05,-1.584004611886499923e-12
5.199999999999999680e-05,-1.630440055863941823e-12
5.219999999999999488e-05,-1.676875499841378875e-12
5.239999999999999975e-05,-1.723310943818831276e-12
5.259999999999999783e-05,-1.769746387796273580e-12
5.279999999999999592e-05,-1.811539950663265914e-12
5.300000000000000078e-05,-1.767689134707159584e-12
5.319999999999999886e-05,-1.723838318751062544e-12
5.339999999999999695e-05,-1.679987502794956214e-12
5.359999999999999503e-05,-1.636136686838857154e-12
5.379999999999999989e-05,-1.592285870882756075e-12
5.399999999999999798e-05,-1.548435054926650755e-12
5.419999999999999607e-05,-1.504584238970544022e-12
5.439999999999999415e-05,-1.485638921879553535e-12
5.459999999999999901e-05,-1.497608417445704006e-12
5.479999999999999710e-05,-1.509577913011850237e-12
5.499999999999999518e-05,-1.521547408577995862e-12
