t_s,uy_mass_m
2.539999999999999737e-05,-4.021138401437679464e-08
2.549999999999999980e-05,-3.633349197566567963e-08
2.559999999999999884e-05,-3.158097160825903536e-08
2.569999999999999788e-05,-2.641236811873564591e-08
2.580000000000000031e-05,-2.133508160398828276e-08
2.589999999999999936e-05,-1.683443241238993068e-08
2.599999999999999840e-05,-1.333818806087530213e-08
2.609999999999999744e-05,-1.117724884366013095e-08
2.619999999999999987e-05,-1.061894864374274925e-08
2.629999999999999892e-05,-1.158322242842367614e-08
2.639999999999999796e-05,-1.403085918728734720e-08
2.650000000000000039e-05,-1.776479305916496759e-08
2.659999999999999943e-05,-2.238020408752408127e-08
2.669999999999999847e-05,-2.743536083526226584e-08
2.679999999999999752e-05,-3.244215175565655368e-08
2.689999999999999995e-05,-3.691748561867770009e-08
2.699999999999999899e-05,-4.043404603645060513e-08
2.709999999999999803e-05,-4.265778505347212274e-08
2.719999999999999708e-05,-4.336930080850454104e-08
2.729999999999999951e-05,-4.250912792577893796e-08
2.739999999999999855e-05,-4.017992879729407080e-08
2.749999999999999759e-05,-3.661439635870766673e-08
2.760000000000000002e-05,-3.212897549100165782e-08
2.769999999999999906e-05,-2.718348273417441707e-08
2.779999999999999811e-05,-2.225057978670220833e-08
2.789999999999999715e-05,-1.780546986026759575e-08
2.799999999999999958e-05,-1.427457021538917492e-08
2.809999999999999862e-05,-1.199461473854910848e-08
2.819999999999999767e-05,-1.121012107296393224e-08
2.830000000000000010e-05,-1.192448452147465462e-08
2.839999999999999914e-05,-1.408252897143040407e-08
2.849999999999999818e-05,-1.751767417635526434e-08
2.859999999999999722e-05,-2.185670665579623825e-08
2.869999999999999965e-05,-2.669476295704094634e-08
2.879999999999999870e-05,-3.155502558135363694e-08
2.889999999999999774e-05,-3.596897014051274023e-08
2.900000000000000017e-05,-3.951322943750754686e-08
2.909999999999999921e-05,-4.184985118782550917e-08
2.919999999999999826e-05,-4.271982981319768327e-08
2.929999999999999730e-05,-4.212479235682657352e-08
2.939999999999999973e-05,-4.010993199220828751e-08
2.949999999999999877e-05,-3.683644226322347070e-08
2.959999999999999781e-05,-3.262164607772666703e-08
2.970000000000000024e-05,-2.789880898753012906e-08
2.979999999999999929e-05,-2.311674004369035082e-08
2.989999999999999833e-05,-1.873736283981493669e-08
2.999999999999999737e-05,-1.518783280492407687e-08
3.009999999999999980e-05,-1.279828476436350376e-08
3.019999999999999885e-05,-1.180126824458257040e-08
3.029999999999999789e-05,-1.226528063947339575e-08
3.040000000000000032e-05,-1.417982148041132541e-08
3.049999999999999936e-05,-1.731625312589849620e-08
3.059999999999999840e-05,-2.138907377081707214e-08
3.070000000000000083e-05,-2.600255562835819846e-08
3.079999999999999649e-05,-3.070716760828722355e-08
3.089999999999999892e-05,-3.504941573880257291e-08
3.100000000000000135e-05,-3.861232300896099546e-08
3.109999999999999700e-05,-4.105544708865727719e-08
3.119999999999999944e-05,-4.214652443228415198e-08
3.130000000000000187e-05,-4.178283392389830932e-08
3.139999999999999752e-05,-4.000755011105455470e-08
3.149999999999999995e-05,-3.700772618517686220e-08
3.159999999999999561e-05,-3.306557468682473488e-08
3.169999999999999804e-05,-2.856361196037818327e-08
3.180000000000000047e-05,-2.394001795248227594e-08
3.189999999999999612e-05,-1.963555062012750158e-08
3.199999999999999855e-05,-1.607461728220934228e-08
3.210000000000000098e-05,-1.359236343564999242e-08
3.219999999999999664e-05,-1.241826267144029576e-08
3.229999999999999907e-05,-1.270175965325634256e-08
3.240000000000000150e-05,-1.430593499014108903e-08
3.249999999999999715e-05,-1.716183800942482615e-08
3.259999999999999958e-05,-2.097420647584899068e-08
3.269999999999999524e-05,-2.536355356355833774e-08
3.279999999999999767e-05,-2.990953234293444172e-08
3.290000000000000010e-05,-3.417065935024860268e-08
3.299999999999999575e-05,-3.773721234897320389e-08
3.309999999999999818e-05,-4.026544464934641535e-08
3.320000000000000062e-05,-4.151746086243679216e-08
3.329999999999999627e-05,-4.137405356859655886e-08
3.339999999999999870e-05,-3.987163010057152638e-08
3.350000000000000113e-05,-3.714632334317995895e-08
3.359999999999999679e-05,-3.345639200963787621e-08
3.369999999999999922e-05,-2.917836438441671662e-08
3.380000000000000165e-05,-2.471585103113181908e-08
3.389999999999999730e-05,-2.050074791300752113e-08
3.399999999999999973e-05,-1.694088100329903558e-08
