t_s,uy_mass_m
8.779999999999999285e-05,-1.684496350352278224e-12
8.799999999999999771e-05,-1.471794748211088082e-12
8.820000000000000257e-05,-1.259093146069912076e-12
8.839999999999999388e-05,-1.241807720862636483e-12
8.859999999999999874e-05,-1.224522295655290006e-12
8.879999999999999005e-05,-1.419818185490862773e-12
8.899999999999999491e-05,-1.615114075326384246e-12
8.919999999999999978e-05,-1.802839440470906713e-12
8.939999999999999108e-05,-1.990564805615425343e-12
8.959999999999999595e-05,-1.961373785894864824e-12
8.980000000000000081e-05,-1.932182766174384680e-12
8.999999999999999212e-05,-1.720977469843292205e-12
9.019999999999999698e-05,-1.509772173512245371e-12
9.040000000000000184e-05,-1.354136437829630754e-12
9.059999999999999315e-05,-1.198500702146990489e-12
9.079999999999999801e-05,-1.271451347462665043e-12
9.099999999999998932e-05,-1.344401992778235594e-12
9.119999999999999418e-05,-1.562106336445294435e-12
9.139999999999999904e-05,-1.779810680112293701e-12
9.159999999999999035e-05,-1.897823997416147444e-12
9.179999999999999521e-05,-2.015837314720052683e-12
9.200000000000000007e-05,-1.903600613610867653e-12
9.219999999999999138e-05,-1.791363912501795714e-12
9.239999999999999624e-05,-1.576544435685067793e-12
9.260000000000000110e-05,-1.361724958868389753e-12
9.279999999999999241e-05,-1.285103721174802592e-12
9.299999999999999727e-05,-1.208482483481125564e-12
9.320000000000000214e-05,-1.354019459806621986e-12
9.339999999999999344e-05,-1.499556436131985325e-12
9.359999999999999831e-05,-1.702528473792252232e-12
9.379999999999998961e-05,-1.905500511452461180e-12
9.399999999999999448e-05,-1.938825332183350597e-12
9.419999999999999934e-05,-1.972150152914340181e-12
9.439999999999999065e-05,-1.800510566888089238e-12
9.459999999999999551e-05,-1.628870980861944317e-12
9.480000000000000037e-05,-1.445923033418148928e-12
9.499999999999999168e-05,-1.262975085974373532e-12
9.519999999999999654e-05,-1.272965403313269063e-12
9.540000000000000140e-05,-1.282955720652053725e-12
9.559999999999999271e-05,-1.472630184911319152e-12
9.579999999999999757e-05,-1.662304649170481384e-12
9.600000000000000243e-05,-1.818157521819989140e-12
9.619999999999999374e-05,-1.974010394469507397e-12
9.639999999999999860e-05,-1.922512074518338182e-12
9.659999999999998991e-05,-1.871013754567304273e-12
9.679999999999999477e-05,-1.671874575175656972e-12
9.699999999999999963e-05,-1.472735395784109232e-12
9.719999999999999094e-05,-1.349680080613878931e-12
9.739999999999999580e-05,-1.226624765443593498e-12
9.760000000000000067e-05,-1.316132804393570801e-12
9.779999999999999197e-05,-1.405640843343381294e-12
9.799999999999999684e-05,-1.605549297143534672e-12
9.820000000000000170e-05,-1.805457750943596971e-12
9.839999999999999301e-05,-1.891578164001635384e-12
9.859999999999999787e-05,-1.977698577059764069e-12
9.879999999999998918e-05,-1.855168708760039907e-12
9.899999999999999404e-05,-1.732638840460472053e-12
9.919999999999999890e-05,-1.540411309585637570e-12
9.939999999999999021e-05,-1.348183778710866296e-12
9.959999999999999507e-05,-1.301446250595944180e-12
9.979999999999999993e-05,-1.254708722480899077e-12
9.999999999999999124e-05,-1.404040640426077410e-12
1.001999999999999961e-04,-1.553372558371092166e-12
1.004000000000000010e-04,-1.730062699356457669e-12
1.005999999999999923e-04,-1.906752840341779955e-12
1.007999999999999971e-04,-1.913397781882013685e-12
1.010000000000000020e-04,-1.920042723422404532e-12
1.011999999999999933e-04,-1.751059131341216773e-12
1.013999999999999982e-04,-1.582075539260191986e-12
1.015999999999999895e-04,-1.427873150782027834e-12
1.017999999999999943e-04,-1.273670762303828140e-12
1.019999999999999992e-04,-1.306115741920551396e-12
1.021999999999999905e-04,-1.338560721537090678e-12
1.023999999999999954e-04,-1.519445935059508849e-12
1.026000000000000002e-04,-1.700331148581787069e-12
1.027999999999999915e-04,-1.826265641460794378e-12
1.029999999999999964e-04,-1.952200134339867320e-12
1.032000000000000013e-04,-1.883283121677655944e-12
1.033999999999999926e-04,-1.814366109015647931e-12
1.035999999999999974e-04,-1.629583267579250524e-12
1.037999999999999887e-04,-1.444800426142978123e-12
1.039999999999999936e-04,-1.351537537841096192e-12
1.041999999999999985e-04,-1.258274649539125606e-12
1.043999999999999898e-04,-1.359592570158964378e-12
1.045999999999999946e-04,-1.460910490778598577e-12
1.047999999999999995e-04,-1.641678517849186057e-12
1.049999999999999908e-04,-1.822446544919677409e-12
1.051999999999999957e-04,-1.880152074917151285e-12
1.054000000000000005e-04,-1.937857604914754004e-12
1.055999999999999918e-04,-1.809445151425370890e-12
1.057999999999999967e-04,-1.681032697936190936e-12
1.060000000000000016e-04,-1.511769742553594096e-12
1.061999999999999929e-04,-1.342506787171061275e-12
1.063999999999999977e-04,-1.321653432167505554e-12
1.065999999999999890e-04,-1.300800077163780601e-12
1.067999999999999939e-04,-1.450028487502087508e-12
1.069999999999999988e-04,-1.599256897840195899e-12
1.071999999999999901e-04,-1.750248992106505783e-12
1.073999999999999949e-04,-1.901241086372824553e-12
1.075999999999999998e-04,-1.885541972942023094e-12
1.077999999999999911e-04,-1.869842859511429237e-12
1.079999999999999960e-04,-1.706753662251520545e-12
1.082000000000000008e-04,-1.543664464991794413e-12
1.083999999999999921e-04,-1.416722474993774194e-12
1.085999999999999970e-04,-1.289780484995706315e-12
1.087999999999999883e-04,-1.340201552097803513e-12
1.089999999999999932e-04,-1.390622619199679779e-12
1.091999999999999980e-04,-1.560255541470083548e-12
1.093999999999999893e-04,-1.729888463740326970e-12
1.095999999999999942e-04,-1.828199714896227185e-12
1.097999999999999991e-04,-1.926510966052228779e-12
1.099999999999999904e-04,-1.844603149077932963e-12
1.101999999999999952e-04,-1.762695332103868378e-12
1.104000000000000001e-04,-1.593877659147175185e-12
1.105999999999999914e-04,-1.425059986190609624e-12
1.107999999999999963e-04,-1.358606833009659330e-12
1.110000000000000011e-04,-1.292153679828575952e-12
1.111999999999999924e-04,-1.401089545350019922e-12
1.113999999999999973e-04,-1.510025410871233064e-12
1.115999999999999886e-04,-1.670938548077949030e-12
1.117999999999999935e-04,-1.831851685284598556e-12
1.119999999999999983e-04,-1.864665269096363570e-12
1.121999999999999896e-04,-1.897478852908314781e-12
1.123999999999999945e-04,-1.766970225924676673e-12
1.125999999999999994e-04,-1.636461598941280902e-12
1.127999999999999907e-04,-1.489982304905425585e-12
1.129999999999999955e-04,-1.343503010869580971e-12
1.132000000000000004e-04,-1.344635861872383827e-12
1.133999999999999917e-04,-1.345768712874968175e-12
1.135999999999999966e-04,-1.491659915427235150e-12
1.138000000000000014e-04,-1.637551117979288666e-12
1.139999999999999927e-04,-1.763884597304049537e-12
1.141999999999999976e-04,-1.890218076628871397e-12
1.143999999999999889e-04,-1.856272245026590514e-12
1.145999999999999938e-04,-1.822326413424567720e-12
1.147999999999999986e-04,-1.667693359995418131e-12
1.149999999999999899e-04,-1.513060306566464633e-12
1.151999999999999948e-04,-1.411552668252362715e-12
1.153999999999999996e-04,-1.310045029938174566e-12
1.155999999999999910e-04,-1.374323899832068779e-12
1.157999999999999958e-04,-1.438602769725703287e-12
1.160000000000000007e-04,-1.595180718657279925e-12
1.161999999999999920e-04,-1.751758667588691773e-12
1.163999999999999969e-04,-1.824956589275267303e-12
1.165999999999999882e-04,-1.898154510961977330e-12
1.167999999999999930e-04,-1.807221500067073024e-12
